Wall time,Step,Value
1677810089,0,0.112179488
1677811846,50,0.099959932
1677813586,100,0.239683494
1677815327,150,0.399238795
1677817061,200,0.42347756
1677818793,250,0.435997605
1677820533,300,0.470753193
1677822273,350,0.529847741
1677824010,400,0.693910241
1677825759,450,0.759715557
1677827514,500,0.698016822
1677829270,550,0.834935904
1677831009,600,0.653746009
1677832747,650,0.860276461
1677834500,700,0.857972741
1677836262,750,0.857972741
1677838035,800,0.857171476
1677839825,850,0.856270015
1677841619,900,0.857271612
1677843409,950,0.856971145
1677845197,1000,0.856270015
1677846997,1050,0.855568886
1677848798,1100,0.856069684
1677850598,1150,0.856270015
1677852383,1200,0.855769217
1677854175,1250,0.855969548
1677855941,1300,0.85546875
1677857697,1350,0.855969548
1677859478,1400,0.855669081
1677861255,1450,0.854967952
1677863027,1500,0.855168283
1677864782,1550,0.856069684
1677866547,1600,0.855568886
1677868305,1650,0.854967952
1677870041,1700,0.854667485
1677871783,1750,0.855168283
1677873524,1800,0.855168283
1677875258,1850,0.855168283
1677877008,1900,0.854667485
1677878765,1950,0.855268419
1677880514,2000,0.854867816
1677882255,2050,0.855068088
1677883997,2100,0.854867816
1677885745,2150,0.854767621
1677887485,2200,0.854266822
1677889241,2250,0.854366958
1677890987,2300,0.854266822
1677892737,2350,0.85386616
1677894497,2400,0.854667485
1677896259,2450,0.854467154
1677898031,2500,0.854266822
1677899828,2550,0.853966355
1677901620,2600,0.854967952
1677903410,2650,0.854567289
1677905198,2700,0.854266822
1677906969,2750,0.854266822
1677908752,2800,0.854867816
1677910524,2850,0.854266822
1677912294,2900,0.854467154
1677914080,2950,0.854066491
1677915852,3000,0.854467154
1677917628,3050,0.854066491
1677919349,3100,0.853966355
1677921057,3150,0.854667485
1677922765,3200,0.854366958
1677924466,3250,0.853665888
1677926165,3300,0.854667485
1677927820,3350,0.854967952
1677929434,3400,0.854967952
1677931104,3450,0.854567289
1677932776,3500,0.854567289
1677934440,3550,0.854166687
1677936099,3600,0.854266822
1677937757,3650,0.853565693
1677939416,3700,0.853966355
1677941086,3750,0.853465557
1677942759,3800,0.853465557
1677944471,3850,0.853565693
1677946228,3900,0.854667485
1677947995,3950,0.854567289
1677949769,4000,0.854366958
1677951529,4050,0.854066491
1677953284,4100,0.854166687
1677955041,4150,0.854667485
1677956804,4200,0.854166687
1677958565,4250,0.854366958
1677960355,4300,0.854467154
1677962159,4350,0.853665888
1677963961,4400,0.854467154
1677965765,4450,0.854066491
1677967560,4500,0.854066491
1677969355,4550,0.853766024
1677971146,4600,0.854867816
1677972950,4650,0.853565693
1677974752,4700,0.854266822
1677976548,4750,0.853465557
1677978344,4800,0.854266822
1677980127,4850,0.853565693
1677981915,4900,0.853665888
1677983705,4950,0.853766024
1677985485,5000,0.854166687
1677987276,5050,0.854266822
1677989065,5100,0.853665888
1677990851,5150,0.853665888
1677992657,5200,0.854166687
1677994463,5250,0.854266822
1677996327,5300,0.853465557
1677998150,5350,0.854266822
1678000040,5400,0.853565693
1678001839,5450,0.853665888
1678003635,5500,0.853766024
1678005465,5550,0.854166687
1678007266,5600,0.854266822
1678009025,5650,0.853665888
1678010824,5700,0.853665888
1678012634,5750,0.854166687
1678014498,5800,0.854266822
1678016298,5850,0.853465557
1678018142,5900,0.854266822
1678019975,5950,0.853565693
