Wall time,Step,Value
1677810147,0,0.112580128
1677810947,50,0.691606581
1677811754,100,0.924078524
1677812559,150,0.943910241
1677813362,200,0.951121807
1677814163,250,0.955028057
1677814963,300,0.953225136
1677815763,350,0.957932711
1677816577,400,0.956530452
1677817387,450,0.959935904
1677818196,500,0.961738765
1677819006,550,0.961438298
1677819814,600,0.960436702
1677820617,650,0.959935904
1677821421,700,0.96254009
1677822226,750,0.959134638
1677823032,800,0.96254009
1677823839,850,0.962239563
1677824646,900,0.961939096
1677825452,950,0.961838961
1677826257,1000,0.962840557
1677827063,1050,0.961939096
1677827866,1100,0.96324116
1677828715,1150,0.963141024
1677829573,1200,0.961137831
1677830429,1250,0.961438298
1677831285,1300,0.962239563
1677832140,1350,0.96254009
1677832992,1400,0.961538434
1677833847,1450,0.962740362
1677834702,1500,0.963641822
1677835556,1550,0.965244412
1677836410,1600,0.961037636
1677837270,1650,0.963040888
1677838121,1700,0.96254009
1677838975,1750,0.962740362
1677839829,1800,0.962840557
1677840678,1850,0.963641822
1677841535,1900,0.963341355
1677842388,1950,0.96324116
1677843240,2000,0.963341355
1677844099,2050,0.964342952
1677844954,2100,0.962940693
1677845801,2150,0.964142621
1677846655,2200,0.964643419
1677847507,2250,0.964242816
1677848362,2300,0.96308734
1677849220,2350,0.961939096
1677850073,2400,0.965244412
1677850922,2450,0.964242816
1677851727,2500,0.963541687
1677852535,2550,0.964242816
1677853343,2600,0.964142621
1677854151,2650,0.963641822
1677854958,2700,0.965344548
1677855764,2750,0.964943886
1677856570,2800,0.96484375
1677857378,2850,0.963842154
1677858192,2900,0.963942289
1677859006,2950,0.964443088
1677859819,3000,0.964743614
1677860643,3050,0.965044081
1677861465,3100,0.965244412
1677862285,3150,0.965344548
1677863106,3200,0.963741958
1677863925,3250,0.965044081
1677864735,3300,0.964142621
1677865545,3350,0.965044081
1677866350,3400,0.964943886
1677867150,3450,0.964443088
1677867959,3500,0.965144217
1677868772,3550,0.965544879
1677869582,3600,0.966346145
1677870396,3650,0.965344548
1677871206,3700,0.965144217
1677872006,3750,0.965745211
1677872810,3800,0.965544879
1677873614,3850,0.964342952
1677874414,3900,0.965044081
1677875213,3950,0.965144217
1677876015,4000,0.964943886
1677876817,4050,0.965344548
1677877619,4100,0.965945542
1677878420,4150,0.963842154
1677879223,4200,0.965144217
1677880024,4250,0.964443088
1677880826,4300,0.964543283
1677881629,4350,0.964543283
1677882428,4400,0.964743614
1677883227,4450,0.964943886
1677884025,4500,0.964943886
1677884819,4550,0.965244412
1677885617,4600,0.965344548
1677886412,4650,0.965344548
1677887210,4700,0.965044081
1677888006,4750,0.964943886
1677888807,4800,0.965444684
1677889609,4850,0.964743614
1677890410,4900,0.964342952
1677891212,4950,0.965344548
1677892013,5000,0.965444684
1677892814,5050,0.964643419
1677893615,5100,0.965645015
1677894416,5150,0.965144217
1677895229,5200,0.964242816
1677896040,5250,0.964743614
1677896849,5300,0.965144217
1677897662,5350,0.964443088
1677898466,5400,0.964643419
1677899274,5450,0.965244412
1677900079,5500,0.966145813
1677900890,5550,0.965044081
1677901715,5600,0.966246009
1677902535,5650,0.964042485
1677903345,5700,0.964943886
1677904153,5750,0.964643419
1677904962,5800,0.965444684
1677905779,5850,0.964643419
1677906585,5900,0.965645015
1677907392,5950,0.965645015
